,Ep,Range
0,100.07,2.5763182978790997
1,110.58,3.0769420752314565
2,120.45,3.5802239895614063
3,129.79,4.085053918538971
4,138.66,4.5893381145009275
5,147.13,5.092784477463448
6,155.26,5.595579326245693
7,163.09,6.0974717799375036
8,170.66,6.59879382253747
9,178.01,7.100061565129721
10,185.16,7.601679332911064
11,192.13,8.103257132141325
12,198.93,8.604317116056471
13,205.6,9.106809736017619
14,212.12,9.608355569007369
15,218.52,10.110447155788158
16,224.81,10.613155325945673
17,230.98,11.11519957161908
18,237.05,11.617062943807346
19,243.03,12.11955358463313
20,248.91,12.62133561011983
21,254.71,13.123350249995275
22,260.43,13.625220074451082
23,266.08,14.127708661401275
24,271.66,14.630500251606653
25,277.19,15.134820391284945
26,282.67,15.640483616928936
27,288.1,16.147278312658592
28,293.5,16.65684542953715
29,298.87,17.16908356715279
30,304.21,17.683692605653995
31,309.52,18.200679970777973
32,314.81,18.72077155563981
33,320.07,19.242884841335993
34,325.3,19.766842631008583
35,330.48,20.290476252975147
36,335.92,20.84532412838989
37,340.77,21.344265732263988
38,347.9,22.08487808700158
39,355.22,22.853936751194407
40,362.47,23.6241847980834
41,369.64,24.394069109233705
42,376.74,25.164504307913692
43,383.78,25.93598954357017
44,390.75,26.707220254316162
45,397.66,27.478927491415135
46,404.52,28.25194199234865
47,411.32,29.024907040708893
48,418.07,29.798671315371795
49,424.77,30.573028159947253
