,Ep,Range
0,54.19,2.570287734433805
1,59.82,3.072022684732503
2,65.08,3.5756972220056413
3,70.03,4.079751939331195
4,74.72,4.583615561996913
5,79.17,5.084829071619766
6,83.44,5.586688075656738
7,87.53,6.086211952386055
8,91.48,6.585756849733677
9,95.3,7.084632284132308
10,99.01,7.583777284777099
11,102.61,8.081715068548018
12,106.12,8.579915518275694
13,109.56,9.080201831482194
14,112.91,9.578683686098378
15,116.2,10.07895011408553
16,119.42,10.57872754114199
17,122.57,11.077236406791515
18,125.67,11.577022102865154
19,128.72,12.07751494645848
20,131.71,12.576541264727553
21,134.65,13.075206533548261
22,137.55,13.574778290972086
23,140.41,14.07485678939146
24,143.22,14.573303252820367
25,146.01,15.075054422130673
26,148.77,15.57805187309112
27,151.5,16.082071568860233
28,154.2,16.586850374489366
29,156.89,17.09592773768251
30,159.56,17.607246407576202
31,162.21,18.120642612288794
32,164.84,18.635909619616577
33,167.46,19.154866641971854
34,170.05,19.673333216760707
35,172.62,20.193085574366773
36,175.31,20.74269933000126
37,177.7,21.235814939273283
38,181.22,21.970889849449993
39,184.81,22.730497760932902
40,188.37,23.493484817441914
41,191.87,24.25298458990406
42,195.34,25.015058991492932
43,198.76,25.774939098079862
44,202.14,26.534373899874915
45,205.48,27.29301444334996
46,208.79,28.052791622658756
47,212.06,28.811094803083915
48,215.3,29.569914702776796
49,218.51,30.328976792428914
